Video ID,Title,Category,Views,Duration,Likes,Comments,Uploaded Date,Date,Tags,Channel Title,Channel Total View,Channel Subscribers,Channel Video,Channel Keywords
zSm6t7NzTxk,劇場版鬼滅の刃無限城編特報,Film & Animation,2006290,1~5min,56746.0,,2024-06-30,2024-07-01,"['鬼滅の刃', '無限城編']",アニプレックス チャンネル,2897128883,2890000,10472,"['アニプレックス', 'ANIPLEX', 'アニメ', '映画', 'ゲーム', '舞台', 'グッズ']"
I3NwBMu9aBE,BEFIRST X ATEEZ  HushHush Official Audio,Music,453631,1~5min,48757.0,3646.0,2024-06-30,2024-07-01,"['SKY-HI', 'スカイハイ', 'すかいはい', '日高', 'ヒダカ', 'ひだか', '日高光啓', 'AAA', 'トリプルエー', 'すっきり', 'ｽｯｷﾘ', 'sukkkiri', 'THEFIRST', 'ザファースト', 'ｻﾞﾌｧｰｽﾄ', 'ざふぁーすと', 'BMSG', 'ビーエムエスジー', 'ﾋﾞｰｴﾑｴｽｼﾞｰ', 'びーえむえすじー', 'ボーイズグループオーディション', 'ざすと', 'ザスト', 'ｻﾞｽﾄ', 'BEFIRST', 'ﾋﾞｰｽﾄ', 'ボーイズグループ', 'ﾎﾞｰｲｽﾞｸﾞﾙｰﾌﾟ', 'Boysgroup', 'BE:FIRST', 'JUNON', 'RYUHEI', 'LEO', 'SOTA', 'RYOKI', 'MANATO', 'SHUNTO', 'ジュノン', 'ｼﾞｭﾉﾝ', 'リュウヘイ', 'ﾘｭｳﾍｲ', 'レオ', 'ソウタ', 'ﾚｵ', 'ｿｳﾀ', 'リョウキ', 'ﾘｮｳｷ', 'マナト', 'ﾏﾅﾄ', 'シュント', 'ｼｭﾝﾄ', 'BESTY', 'yt:cc=on', 'ATEEZ', 'BESTINY', 'エイティーズ', 'Hush', 'Hush-Hush', 'hushhush', 'ハッシュ', 'ハッシュハッシュ', 'ATINY', 'BF_ATEEZ_HushHush', 'BESTINY', 'BEFIRST', 'ATEEZ', 'HushHush', 'BMSG', 'BME', 'BESTY', 'BEFIRSTXBESTY']",BE:FIRST Official,611657186,297000,496,
crrMLIrlcfY,速報ダイジェスト後半終了1分前に劇的ドラマが UEFA EURO 2024 ラウンド16 イングランド vs スロバキア,Entertainment,396539,5~10min,2328.0,409.0,2024-06-30,2024-07-01,"['ABEMA', 'W杯', 'ワールドカップ', 'FIFA', 'FIFA World Cup', 'FIFA World Cup 2022', 'サッカー', '日本代表', '本田圭佑', '稲本潤一', '岡崎慎司', '乾貴士', '中山雅史', '鈴木隆行', '森島寛晃', '中田英寿', 'ヒデ', '中村俊輔', '俊輔', 'しゅんすけ', '玉田圭司', '遠藤保仁', '香川真司', '大迫勇也', '大迫半端ないって', '原口元気', '川島永嗣', '長友佑都', '長谷部誠', '宮本恒靖', '大久保嘉人', '吉田麻也', '川口能活', '小野伸二', '中澤佑二', '山口蛍', '中田浩二', '三都主アレサンドロ', '駒野友一', '柳沢敦', '三笘薫', 'オナイウ阿道', '坂元達裕', '稲垣祥', '中谷進之介', '山根視来', '川辺駿', '小川諒也', '田中碧', '古橋亨梧', '板倉滉', '中山雄太', '久保建英', '橋本拳人', '鎌田大地', '冨安健洋', '守田英正', '堂安律', '佐々木翔', '中島翔哉', '伊東純也', 'バルセロナ', 'リヴァプール', 'レアルマドリード', 'チェルシー', 'バイエルンミュンヘン', 'アーセナル', 'マンチェスターユナイテッド', 'マンU', 'ユヴェントス', 'ACミラン', 'リオネル・メッシ', 'メッシ', 'クリスティアーノ・ロナウド', 'ロナウド', 'ネイマール', 'キリアン・エムバペ', 'ロベルト・レヴァンドフスキ', 'モハメド・サラー', 'ディディエ・ドログバ', 'ABEMA', 'UEFAEURO2024', 'アベマでEURO2024全試合無料生中継', 'euro2024']",ABEMA サッカー 【公式】,36119235,237000,595,
eJCHKjt0MPw,BABYMONSTER  FOREVER MV,People & Blogs,10151297,1~5min,1015451.0,77357.0,2024-06-30,2024-07-01,"['BABYMONSTER', '베이비몬스터', '베몬', 'BABYMON', 'BAEMON', '하람', '아현', '루카', '치키타', '파리타', '로라', '아사', 'HARAM', 'AHYEON', 'RUKA', 'CHIQUITA', 'PHARITA', 'RORA', 'ASA', 'BABYMONSTER', '베이비몬스터', 'DigitalSingle', 'FOREVER', 'MV', 'OUTNOW', 'YG']",BABYMONSTER,2103207417,6160000,251,"['YG', 'Entertainment', 'YG', '와이지', 'K', 'pop', 'BABYMONSTER', '베이비몬스터', '베몬', '하람', '아현', '치키타', '아사', '로라', '루카', 'HARAM', 'AHYEON', 'CHIQUITA', 'ASA', 'RORA', 'RUKA', 'PHARITA', '파리타', 'RAMI', '라미']"
ULA7OgjJEr4,テレビアニメ鬼滅の刃柱稽古編柱稽古クライマックス特別上映会,Film & Animation,777719,30~60min,29336.0,,2024-06-30,2024-07-01,"['鬼滅の刃', '柱稽古編']",アニプレックス チャンネル,2897128883,2890000,10472,"['アニプレックス', 'ANIPLEX', 'アニメ', '映画', 'ゲーム', '舞台', 'グッズ']"
V-4PiHDX2Mg,アニメお世話になりました,Entertainment,1288693,1~5min,168850.0,13803.0,2024-06-30,2024-07-01,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'yt:cc=on', 'ホロぐら']",hololive ホロライブ - VTuber Group,1219699656,2470000,1272,"['ホロライブ', 'hololive', 'バーチャルYouTuber', 'VTuber', 'アニメ', 'Anime']"
BryspbM6s3E,UNDEAD,Music,229361,1~5min,16739.0,944.0,2024-06-30,2024-07-01,"['YOASOBI', 'Ayase', 'UNDEAD']",YOASOBI - Topic,1588340159,183000,103,
QMuajQlx64c,Tアニメ推しの子第2期メインPV第2弾2024年7月3日より放送開始,Film & Animation,803772,1~5min,32748.0,798.0,2024-06-30,2024-07-01,['推しの子'],TVアニメ【推しの子】公式チャンネル,425632076,890000,369,
TRCwCJVeeMs, 大神ミオ復帰配信 待たせたねなにがあったか話すね,Entertainment,484492,30~60min,49795.0,902.0,2024-06-30,2024-07-01,"['大神ミオ', 'Vtuber', 'ホロライブゲーマーズ', 'ホロライブ', 'ゲーム実況', '実況', 'VTuber', 'バーチャルYouTuber', 'VR', '白 上フブキ', '湊あくあ', '赤井はあと', 'ときのそら', 'ロボ子さん', '夜空 メル', '大空スバル', '夏色まつり', 'さくらみこ', '百鬼あやめ', '紫咲シオン', 'ア キ・ローゼンタール', '戌神ころね', '猫又おかゆ', 'みおーんファミリー', 'ミオファ', 'ミオかわいい', '白銀ノエル', '潤羽るしあ', '兎田ぺこら', '不知火フレア', '宝鐘マリン', '歌ってみた', '癒月ちょこ', 'AZKi', '星街すいせい', '天音かなた', '桐生ココ', '姫森ルーナ', '角巻わため', '常闇トワ', 'ホロライブFAMS', 'FAMS', 'OKFAMS', '雪花ラミィ', '桃鈴ねね', '獅白ぼたん', '魔乃アロエ', '尾丸ポルカ', 'みおーん絵', 'ミオかわいい']",Mio Channel 大神ミオ,186075779,1190000,1055,"['ホロライブ', 'hololive', 'ホロライブゲーマーズ', '歌ってみた', 'ゲーム実況', '実況', 'バーチャルyoutuber', 'Vtuber', 'VTuber', 'バーチャルYouTuber', 'VR', '3D', 'ときのそら', 'ロボ子さん', '夜空メル', 'アキ・ローゼンタール', '赤井はあと', '白上フブキ', '夏色まつり', '湊あくあ', '紫咲シオン', '百鬼あやめ', '癒月ちょこ', '大空スバル', '大神ミオ', 'さくらみこ', '猫又おかゆ', '戌神ころね', '兎田ぺこら', '潤羽るしあ', '不知火フレア', '宝鐘マリン', '白銀ノエル', 'AZKi', '星街すいせい']"
CpcuTKUwfyU,海外の人がわざわざ日本まで買いに来るコンビニ商品,Entertainment,517372,30~60min,14162.0,1286.0,2024-06-30,2024-07-01,"['English', ""Kevin's English room"", 'Kevin', '英語', 'ケビン', 'tiktok', 'アメリカ', 'アメリカ人', 'おもしろ', '英文法', 'ケビンズイングリッシュ', '授業', '勉強', 'ためになる', '日本語', '教育', '学習', '発音', '翻訳', ""kevin's english room"", 'イントネーション', '流行', '検証', 'リスニング', '歌手', 'ボーカル', '音楽', 'アーティスト', '評価', '学校', 'バイリンガル', 'バイリンガール', '爆笑', 'ジョージア', '留学', '英語フレーズ', '日本語訳', '英和', 'TOEIC', 'TOEFL', 'グローバル', 'オススメ', 'ネイティブ', '英語ネイティブ', '海外生活', '国際恋愛', '国際結婚', '英会話', '語学留学', '海外留学', '大学', '東大', '早稲田', '慶應', '上智', '一橋', '京大', 'バラエティ', 'TikTok', 'インスタ', '語学', '掛山ケビ志郎', 'かけ', 'やま', 'Twitter', '入試', '受験', 'Instagram', '掛山ケビン', 'IQ', '高IQ', '多言語', 'マツコ会議', 'マツコデラックス', 'KER', '食レポ', 'joe sensei', 'セブンイレブン', 'コンビニ', 'たまごサンド', 'コンビニ', 'アメリカ', 'KER', 'セブンイレブン', '観光客']",Kevin's English Room / 掛山ケビ志郎,1720500561,2330000,789,"['英語', '音楽', '語学学習', 'エンタメ', '日常', '英会話', 'アメリカ', '海外', '食レポ', '食事', '料理', '外国', '異文化']"
