Video ID,Title,Category,Views,Duration,Likes,Comments,Uploaded Date,Date,Tags,Channel Title,Channel Total View,Channel Subscribers,Channel Video,Channel Keywords
mRukBTLLhc4,물어보라 했다고 이거까지 물어봐 네 진짜 다 물어봤습니다 변우석 의 잡학사전 근데 TMI를 곁들인 제작지원,Entertainment,337870,5~10min,25820.0,3592.0,2024-06-19,2024-06-20,"['변우석', '바자 변우석', '변우석 바자', '바자 커버', '변우석 인터뷰', 'byeonwooseok', '선재', '류선재', '선재업고튀어', '러블리러너', 'Lovely Runner', 'Ryuseonjae', '변우석 바자 인터뷰', '변우석 밈', '변우석 화보', '변우석 커버', '변우석 바자 커버', '변우석 유튜브 인터뷰', '변우석 잡학사전', '통통이', '변우석 통통이', '변우석 우체통', '변우석 김혜윤', '선업튀 류선재', '선업튀 류선재 임솔', '선재업고튀어 변우석', '변우석 임솔', '변우석 주우재', '변우석 과거', '변우석 패션쇼', '변우석 패션', '변우석 취향', '변우석 본캐', '변우석 실제', '까르띠에', '까르띠에 트리니티', '변우석 까르띠에', '변우석 목걸이', '변우석 반지', '우석띠에', '라이즈', '라이즈 원키스', '라이즈 One kiss', '변우석 라이즈', '퍼스널컬러']",Harper's BAZAAR Korea,92155354,304000,1020,"['패션', '매거진', '하퍼스', '바자', '하퍼스바자', '패션잡지', '잡지', 'bazaar', '인터뷰', '화보']"
78lNnCitcBM,RIIZE 라이즈 Boom Boom Bass MV,Music,10986556,1~5min,213331.0,15520.0,2024-06-17,2024-06-20,"['sm', 'RIIZE', 'Impossible', 'SHOTARO', 'EUNSEOK', 'SUNGCHAN', 'WONBIN', 'SOHEE', 'ANTON', '라이즈', '임파서블', '쇼타로', '은석', '성찬', '원빈', '뮤비', '뮤비 티저', 'Music VIdeo', 'MV', 'RIIZING', '라이징', 'boom boom bass', 'bbb', '붐붐베이스', '베이스', '붐붐 베이스']",SMTOWN,29555266363,32500000,4367,"['SM', 'SMENT', 'SMTOWN', 'SMENTERTAINMENT', '에스엠엔터테인먼트', '에스엠타운', '에스엠', 'KPOP', 'TVXQ', '동방신기', '東方神起', 'DBSK', 'SuperJunior', '슈퍼주니어', 'SJ', 'Girls', 'Generation', '소녀시대', 'GG', 'SNSD', '少女時代', 'SHINee', '샤이니', '에프엑스', 'f', 'x', 'Grace', '천상지희', '천상지희더그레이스', 'TRAX', '트랙스', 'BoA', '보아', 'KANGTA', '강타', 'LeeYeonHee', 'exo', 'exom', 'exok', '엑소', '엑소케이', '엑소엠', 'NCT', 'NCT', '127', 'NCT', 'DREAM', 'Red', 'Velvet', '레드벨벳', '엔시티', '엔시티', '127', '엔시티', '드림', 'NCT', 'U', '엔시티유', 'SuperM', '슈퍼엠', 'aespa', '에스파']"
m6pTbEz4w3o,NewJeans 뉴진스 Right Now Official MV,Music,7092649,1~5min,459979.0,29239.0,2024-06-16,2024-06-20,"['HYBE', 'HYBE LABELS', '하이브', '하이브레이블즈']",HYBE LABELS,34465954121,75000000,1876,
0GTyDijQEUQ,Performance37 RIIZE라이즈 Boom Boom Bass 4K,Entertainment,616935,1~5min,49368.0,2897.0,2024-06-19,2024-06-20,"['엠넷', 'Mnet', '엠투', 'M2', 'MPD', '엠피디', 'Kpop', 'K-Pop', 'K팝', '아이돌', '한국', '라이브', 'Live', 'Dance', '댄스', '안무']",M2,9719814201,9990000,23833,"['M2', '엠투', 'kpop', 'K팝', 'mnet', '엠넷', '케이팝', 'mcountdown', '엠카운트다운', 'mama', '마마', 'mpd', '엠피디', 'fancam', '직캠']"
qt7g5pJUSgw,SUB 환승연애3 첫 단체 강릉여행,People & Blogs,567756,10~30min,,833.0,2024-06-18,2024-06-20,"['#환승연애3', '환승연애', '이유정', '강릉여행', '우정여행', '환승연애 이유정', '브이로그', '여행', '일상', '여행영상', '바다추천', '국내여행', '연애프로그램', '티빙', '단체여행']",헤이유정 YUJUNG,549825,42100,1,
gNQaIYXEYvY,케이윌 Kwill 내게 어울릴 이별 노래가 없어 MV Teaser,Music,738463,< 1min,65346.0,6271.0,2024-06-18,2024-06-20,"['Kwill', '브이로그', '윌로그', 'Kpop', '1theK', 'Starshiptv', 'starship', 'loen', '로엔', '뮤비', '티져', 'MV', 'Teaser', '신곡', 'new', 'song', '한류', 'hallyu', '韓流', '韓国', '想像', 'k.will', 'kwill', '케이윌', '무드인디고', 'mood indigo', '그땐 그댄', '콘서트', '형나잇', 'hyunknight', '비하인드', 'behind', '케이윌비하인드', '케이윌 컴백', 'All the way', '올더웨이', '내게 어울릴 이별 노래가 없어', '이지리빙', '말할게', '식탁', '선우정아', '다비', '론리투게더', 'lonely together', '티저', '내어이없', 'teaser']",STARSHIP,4826001713,6340000,2217,"['music', 'singer', 'kpop', 'boy', 'group', 'girl', 'group', 'singer', 'songwriter']"
GsnvVzEf7RQ,그 어디에서도 보기 힘든 새 비행기 출고 브이로그,Travel & Events,231291,10~30min,5832.0,576.0,2024-06-19,2024-06-20,"['에어부산', '에어버스', 'airbus', '새비행기', '비행기출고', '비행기공장', 'a321neo', 'a321', '김정범', '김태완', '오지혜', '황지선', '이종빈', 'airbusan']",에어부산,56157885,116000,249,"['에어부산', 'airbusan', 'Air', 'Busan', '부산', '항공사', '승무원', '에부', '비행기', '송유리', '항공기', '비행기', '기장', '정비사', '에어버스', '캐빈승무원', '문경은', '김태완', '조종사']"
reUduVdGD6o,나연즈 미러전 도플갱어 만났나연트와이스 나연이나연 셀폰KODE,People & Blogs,323939,10~30min,17008.0,594.0,2024-06-19,2024-06-20,"['selfonkode', '아이돌', '여돌', '소개팅', '남돌', '보이그룹 채팅', '블라인드톡', '블라인드데이트', 'blinddate', 'idol', 'boygroup', 'date', 'kpop', 'dance', 'flirting', '플러팅', '우결', 'kdol', 'Wegotmarried', 'mnet', 'mcountdown', '인기가요', '직캠', '뮤뱅', '뮤직뱅크', '음중', '음악중심', '인가', '웹예능', '토크쇼', '핑계고', '와글와글', '요정식탁', 'pixid', '픽시드', 'odg', '보석함', '신곡', 'TWICE', '트와이스', 'NAYEON', '나연', 'NA', 'ABCD', '이나연', 'LEENAYEON', '아나운서', '환승연애', '남희두', '희두나연', '이찬혁', '사나', '모모', '솔로', '여름', '선미', '권은비', '워터밤']",KODE 코드,51902554,714000,246,
NDxM1Zb-U1U,이영지X도경수 Small girl Live ver,Music,1234287,1~5min,110570.0,4163.0,2024-06-17,2024-06-20,"['이영지', '도경수', 'small girl', '16 fantasy', '신곡', '이영지 앨범', '이영지 도경수', 'yt:cc=on']",이영지,333466386,1150000,47,
7b3zfmfx7gY,ENG SUB 이정재 EP 46 이거 실화 짠한형에 월드스타 이정제다이가 나왔다고 수갑차고 역대급 잘생김 흘리고 간 이정재 님과 함께합니다,Entertainment,1513689,30~60min,29450.0,2466.0,2024-06-17,2024-06-20,"['이정재', '스타워즈', '애콜라이트', '신동엽', '술방', '먹방', '정호철', '디즈니플러스', '제다이']",짠한형 신동엽,208505141,1340000,153,
