Video ID,Title,Category,Views,Duration,Likes,Comments,Uploaded Date,Date,Tags,Channel Title,Channel Total View,Channel Subscribers,Channel Video,Channel Keywords
H0S28p3eoWs,Snow ManBREAKOUTMusic Video,Music,3239315,1~5min,125586.0,11223.0,2024-06-19,2024-06-20,"['Snow Man', 'スノーマン', '岩本 照', 'Hikaru Iwamoto', '深澤 辰哉', 'Tatsuya Fukazawa', 'ラウール', 'Raul', '渡辺 翔太', 'Shota Watanabe', '向井 康二', 'Koji Mukai', '阿部 亮平', 'Ryohei Abe', '目黒 蓮', 'Ren Meguro', '宮舘 涼太', 'Ryota Miyadate', '佐久間 大介', 'Daisuke Sakuma']",Snow Man,3416864363,3240000,580,"['Snow', 'Man', 'snowman', 'スノーマン']"
CQQgfhAsKJc,虫眼鏡てつパパとしパパ爆弾婚約を知る,Comedy,708123,30~60min,19363.0,945.0,2024-06-19,2024-06-20,,東海オンエアの控え室,2891770701,3010000,2279,
GbpRqM9e7u4,Nintendo Direct2024618,Gaming,1675627,30~60min,28934.0,,2024-06-18,2024-06-20,"['Game', 'VideoGame', 'ゲーム', 'ビデオゲーム', 'Video Game (Industry)', '任天堂', 'ニンテンドー', 'Nintendo', 'sv_nintendo', 'Switch', 'スイッチ', 'Nintendo Direct', 'Direct', 'ダイレクト', 'PlayStation Publishing', 'スクウェア・エニックス', 'SNK', 'Private Division', 'マーベラス', 'Disney Games', 'セガ', 'NCSOFT', '日本コロムビア', 'グランディング', 'バンダイナムコエンターテインメント', 'カプコン', '小学館', 'Sunblink Entertainment', 'スパイク・チュンソフト', 'ゼルダの伝説', '神々のトライフォース', '4つの剣', 'メトロイド', 'ゼロミッション', 'パーフェクトダーク', 'コーエーテクモゲームス', '日本一ソフトウェア', 'KONAMI', 'PLAYISM', 'KADOKAWA', 'フリュー', 'Annapurna Interactive', 'ジニアス・ソノリティ', 'NetEase Games', '日本ファルコム', '2D BOY', 'Cygames', 'アニプレックス']",Nintendo 公式チャンネル,1655140219,2990000,3214,"['Nintendo', '任天堂', 'にんてんどう', 'ニンテンドウ', 'ニンテンドー', 'YouTube', 'ユーチューブ', 'youtube', 'nintendo', '任天堂YouTube', '任天堂ユーチューブ', 'wii', 'official', 'channel', '公式', 'チャンネル', 'nintendo', 'youtube', 'YouTube任天堂', 'Nintendo', '3DS', 'ニンテンドー3DS', 'スリーディーエス', 'ニンテンドー3DS', 'LL', '3DS', 'Nintendo', 'Wii', 'U', 'Wii', 'ウィーユー', '2DS', 'ツーディーエス', 'New', 'Switch', 'マリオ', 'スーパーマリオ', 'ゼルダ', 'ゼルダの伝説', 'リンク', 'ドンキーコング', '星のカービィ', 'カービィ']"
LSxnjW49su8,大谷が4年連続の20号チームも9回に5点差ひっくり返す劇的逆転勝利ドジャース vs ロッキーズ 試合ハイライト MLB2024シーズン 619,Sports,1607089,10~30min,12932.0,1769.0,2024-06-19,2024-06-20,"['MLB', 'メジャーリーグ', 'EPL', 'プレミアリーグ', 'SPFL', 'スコティッシュプレミアシップ', 'セリエA']",SPOTVNOW,1112636247,1000000,10027,"['MLB', 'メジャーリーグ', 'プレミアリーグ', 'EPL', 'spotv', 'spotv', 'now']"
MAP3cnAexxM,櫻坂46愛し合いなさい,Music,259037,1~5min,18307.0,2869.0,2024-06-19,2024-06-20,"['櫻坂46', '櫻坂', '櫻', ""Nobody's fault"", 'BAN', '流れ弾', '五月雨よ', '桜月', 'その日まで', 'Start over!', '承認欲求', '君がサヨナラ言えたって', '何歳の頃に戻りたいのか？', '自業自得', '愛し合いなさい']",櫻坂46 OFFICIAL YouTube CHANNEL,1094370983,1160000,397,
fKO2rAE4lW4,2024年 さきたま杯JpnI第28回NAR公式,Sports,176861,1~5min,1811.0,,2024-06-19,2024-06-20,,NAR公式チャンネル,21512876,47000,1028,
L3X5QYSLDaw,トラブル続出軍神爆撃竜馬の韓国グルメ旅に密着,Entertainment,213172,10~30min,3694.0,835.0,2024-06-19,2024-06-20,"['#どっこい', '#どっこい翔平', '#HOST-TV', '#日本一有名ホスト', '#ミナミ', '#ミナミの渚', '#THE REAL FACE', '#ホスノート', '#HOSNOTE', '#ふゆマニ', '#ホスノート-HOSNOTE-', '#おやしろくんTV', '#社美緒', '#THE JEANNE STORY', '#歌舞伎町の蘭社長', '#蘭社長', '#KG PRODUCE', '#帝幕府-歌舞伎町の夜の相談bar-', '#帝幕府', '#歌舞伎町の夜の相談', '#ROLAND SHOW', '#ROLAND', '#歌舞伎町', '#ホストクラブ', '#新宿', '#ホスト', 'キャバクラ']",エルコレ〜歌舞伎超TV〜,44884781,144000,118,
kcXtSY5Pt_s,JUNON BEFIRST  Nova Flame Special Dance Performance,Music,662738,1~5min,39938.0,3424.0,2024-06-18,2024-06-20,"['SKY-HI', 'スカイハイ', 'すかいはい', '日高', 'ヒダカ', 'ひだか', '日高光啓', 'AAA', 'トリプルエー', 'すっきり', 'ｽｯｷﾘ', 'sukkkiri', 'THEFIRST', 'ザファースト', 'ｻﾞﾌｧｰｽﾄ', 'ざふぁーすと', 'BMSG', 'ビーエムエスジー', 'ﾋﾞｰｴﾑｴｽｼﾞｰ', 'びーえむえすじー', 'ボーイズグループオーディション', 'ざすと', 'ザスト', 'ｻﾞｽﾄ', 'BEFIRST', 'ﾋﾞｰｽﾄ', 'ボーイズグループ', 'ﾎﾞｰｲｽﾞｸﾞﾙｰﾌﾟ', 'Boysgroup', 'BE:FIRST', 'JUNON', 'RYUHEI', 'LEO', 'SOTA', 'RYOKI', 'MANATO', 'SHUNTO', 'ジュノン', 'ｼﾞｭﾉﾝ', 'リュウヘイ', 'ﾘｭｳﾍｲ', 'レオ', 'ソウタ', 'ﾚｵ', 'ｿｳﾀ', 'リョウキ', 'ﾘｮｳｷ', 'マナト', 'ﾏﾅﾄ', 'シュント', 'ｼｭﾝﾄ', 'BESTY']",BE:FIRST Official,606664216,297000,493,
Pfm7khG_zv0,INI LOUD 4K  STUDIO CHOOM ORIGINAL,Entertainment,386279,1~5min,16664.0,1868.0,2024-06-19,2024-06-20,"['M2', '엠투', '스튜디오 춤', '스춤', 'Studio choom', 'COVERS', '커버스', 'DANCE THE X', '댄스 더 엑스', '댄스', 'DANCE', '비 오리지널', 'BE ORIGINAL', '커버', 'COVER', 'Artist Of The Month', 'AOTM', 'Drop the dance', '드롭더댄스', 'Mix & Max', '믹스앤맥스', '믹앤맥']",STUDIO CHOOM [스튜디오 춤],3310818664,5240000,2384,"['M2', 'CHOOM', '스튜디오', '춤', '댄스', '댄스', '영상', '춤', '케이팝', '스춤', '엠투', 'dance', 'practice', 'be', 'original', '비', '오리지널', 'artist', 'of', 'the', 'month', 'dance', 'kpop', 'studio', 'choom', 'studiochoom', 'dance', 'the', 'x', '스튜디오춤', 'aotm', 'mix', 'max', '4k']"
_wLveipj6YU,天皇陛下が訪英前に会見皇后さまとこれだけは譲れない微笑ましい話皇室ちょっといい話156,News & Politics,362373,10~30min,9702.0,514.0,2024-06-19,2024-06-20,,テレ東BIZ,1738659511,2030000,36698,"['テレ東', 'ニュース', '経済', '投資', '株', 'テレビ東京', '解説', '政治']"
