Video ID,Title,Category,Views,Duration,Likes,Comments,Uploaded Date,Date,Tags,Channel Title,Channel Total View,Channel Subscribers,Channel Video,Channel Keywords
IajeQM00yfE,KISS OF LIFE 키스오브라이프 Sticky Official Music Video,Music,1844144,1~5min,254801.0,14827,2024-06-30,2024-07-01,"['KISS OF LIFE', '키오프', '키스오브라이프', '뮤직비디오', 'mv', '뮤비', 'kpop', '케이팝', '유튜브', '쥴리', '나띠', '벨', '하늘', '심혜원', '한쥴리', '원하늘', 'natty', 'haneul', 'belle', 'julie', '트레일러', '예고편', '스티키', 'Sticky', '여름', '여행', '티저', 'teaser', 'KISSOFLIFE', '키스오브라이프', 'Sticky']",KISS OF LIFE,501749721,1300000,674,
4wyDAA0TCfM,예고 슈퍼맨 송일국과 힐링뽀시래기 대한민국만세 초등학생 됐어요유퀴즈온더블럭  YOU QUIZ ON THE BLOCK EP251,Entertainment,583973,< 1min,8761.0,751,2024-06-30,2024-07-01,"['유재석', '유퀴즈', '유퀴즈온더블럭', '조세호', '티빙에서스트리밍', '유퀴즈온더블럭', '유퀴즈', '유재석', '조세호', '티빙에서스트리밍']",유 퀴즈 온 더 튜브,678320101,961000,5082,"['tvN', '유퀴즈온더블럭', '유퀴즈온더튜브', '유퀴즈', '유재석', '조세호']"
eJCHKjt0MPw,BABYMONSTER  FOREVER MV,People & Blogs,10151297,1~5min,1015451.0,77357,2024-06-30,2024-07-01,"['BABYMONSTER', '베이비몬스터', '베몬', 'BABYMON', 'BAEMON', '하람', '아현', '루카', '치키타', '파리타', '로라', '아사', 'HARAM', 'AHYEON', 'RUKA', 'CHIQUITA', 'PHARITA', 'RORA', 'ASA', 'BABYMONSTER', '베이비몬스터', 'DigitalSingle', 'FOREVER', 'MV', 'OUTNOW', 'YG']",BABYMONSTER,2103207417,6160000,251,"['YG', 'Entertainment', 'YG', '와이지', 'K', 'pop', 'BABYMONSTER', '베이비몬스터', '베몬', '하람', '아현', '치키타', '아사', '로라', '루카', 'HARAM', 'AHYEON', 'CHIQUITA', 'ASA', 'RORA', 'RUKA', 'PHARITA', '파리타', 'RAMI', '라미']"
BHuue4ga-w0,드디어 드림하우스로 이사하는 날3도4촌 시작합니다 이효리 오징엇국,People & Blogs,864439,5~10min,17481.0,1103,2024-06-30,2024-07-01,"['이영자', '푸드테퀸이영자', '이영자', '이영자랑', '이영자드림하우스', '이효리', '오징어뭇국']","푸드테퀸, 이영자",616000,154000,2,"['이영자', '이영자유튜브', '푸드테퀸이영자', '푸드테퀸', '연예인이영자', '이영자랑', '이영자드림하우스', '이영자3도4촌']"
05jT2X15DAU,망치 어디 있어요?,Comedy,1217588,5~10min,26487.0,2679,2024-06-29,2024-07-01,"['너덜트', 'nerdult', '코믹숏무비', '유현규', '전상협', '임재형', '스케치코미디', 'sketch comedy', 'skit', 'short movie', 'comic movie', 'comedy movie', 'short video', 'comic video', 'comedy video', '숏박스', 'shortbox', '띱', 'deep', '싱글벙글', '김의성', '스릴러', '공포', '액션', '영화', '단편영화', '단편', '철물점', '망치', '톱', '배우', '영화배우', '미스터션샤인', '코믹숏무비', '너덜트', '철물점']",너덜트,363455055,1890000,86,
ZhoBk0B5p3U,56회 하이라이트 아줌마 신조어 잘 알지? 이정은 앞에서 대놓고 MZ 용어 쓰다가 수법 다 들킨 양아치들  낮과 밤이 다른 그녀  JTBC 240630 방송,Entertainment,369151,5~10min,3078.0,119,2024-06-30,2024-07-01,"['낮과밤이다른그녀', '낮과밤이다른그녀하이라이트', '이정은', '정은지', '최진혁', '백서후', '김지하', 'JTBC낮과밤이다른그녀', '낮과밤이다른그녀5회', '낮과밤이다른그녀6회', 'JTBC드라마', '토일드라마', '주말드라마', 'JTBC토일드라마', 'JTBC주말드라마', '이정은낮과밤이다른그녀', '정은지낮과밤이다른그녀', '최진혁낮과밤이다른그녀', '낮과밤이다른그녀공식영상', '드라마하이라이트', '5회하이라이트', 'Lee Jung Eun', '낮과밤이다른그녀', '하이라이트', '이정은', '정은지', '최진혁', '티빙에서스트리밍']",JTBC Drama,5705132091,4870000,30962,"['K', 'DRAMA', 'KDRAMA', '드라마', 'JTBC', 'JTBC', 'Drama']"
FhsC-DqndTA,부산바다낚시 처음 간 우즈벡 아저씨들의 반응  어몽오리뽀3,Travel & Events,1273305,30~60min,41457.0,3441,2024-06-29,2024-07-01,,곽튜브,499120094,2020000,354,
5UoDn3xAe6k,놀면 뭐하니? HARD 완전체 최초 공개!  놀면뭐하니? 유재석 샤이니 MBC240629방영,Entertainment,861001,10~30min,33952.0,5320,2024-06-29,2024-07-01,"['놀면 뭐하니?', '놀면뭐하니', '유재석', '놀면뭐하니', '놀뭐', '유재석', '우리들의', 'SHINee']",놀면 뭐하니?,1304122746,1430000,1888,
KkCXLABwHP0,I Built 100 Homes And Gave Them Away!,Entertainment,48390459,5~10min,4172043.0,173715,2024-06-29,2024-07-01,,MrBeast,53334114736,294000000,804,"['mrbeast6000', 'beast', 'mrbeast', 'Mr', 'Beast', 'mr']"
hbcGx4MGUMg,LISA  ROCKSTAR Official Music Video,Music,55682458,1~5min,4423576.0,387961,2024-06-28,2024-07-01,"['Blackpink', 'Lisa', 'Music', 'Fashion', 'K-Pop', 'kpop', 'LLoud', 'dance', 'dancing', 'Thailand', 'Lalisa', 'Lalisa love me', 'Money Dance challenge', 'BLINKs', 'BLACKPINK Lisa', 'Lisa of BLACKPINK', 'LISA', 'ROCKSTAR']",LLOUD Official,71810747,2960000,4,
KyRW34nxZ5c,소근이 임신일기 08 성별공개!! 남편에게 깜짝으로 공개했는데 반응이 ㅋㅋㅋㅋㅋ,Entertainment,201301,10~30min,4519.0,330,2024-06-30,2024-07-01,"['소근커플', '소근', '커플', '소영', '근명', 'skcouple', '소근부부', '브이로그', 'vlog', '커플 브이로그', '부부 브이로그', '커플 유튜브', '부부', '성별', '성별공개', '12주', '임신12주차', '니프티', '니프티검사', '젠더리빌', '아들', '딸', '소근커플 딸']",소근커플 S.K.Couple,390985193,926000,551,"['소근커플', '소근', '커플', '소근부부', 'SoKuen', 'S', 'K', 'Couple', '부부', '신혼부부', '예비부부', '결혼', '브이로그', '커플', '브이로그', '부부', '브이로그', '음악', '음악', '커플', 'piano', 'guitar', 'music', 'couple', 'music']"
LDAVumLKwLo,ENG 다들 성심당 성심당 하길래 얼마나 맛있나 먹어봤더니 성심당 성심당ㅣ대전 성심당 빵 리뷰ㅣ할명수 ep189,Entertainment,1292413,10~30min,20602.0,1668,2024-06-28,2024-07-01,"['JTBCEntertainment', '예능', 'JTBC', '명수', 'Gpark', 'Parkmyungsoo', 'Halmyungsoo', '명수옹', '거성', '명수형', '박명수 레전드', '오분순삭', '무한도전', '무도', '무도 레전드', 'Halmyungsoo review', '박명수 리뷰', '할명수 리뷰', '성심당', '대전 성심당', '대전 명물', '안유진', '꿈돌이', '한화 이글스', '대전 여행', '대전 맛집', '튀김소보로', '명란바게트', '망고시루', '크로와상', '빵', '디저트 먹방', 'mukbang', 'asmr', 'bread review', 'dessert mukbang', '인사이드 아웃', '인사이드 아웃 2', '불안이', '할명수', '박명수', '성심당', '빵리뷰']",할명수,407309940,1440000,642,"['할명수', '박명수', '무한도전', '유재석', '하하', '정준하', '광희', 'JTBC', 'JTBC', 'Entertainment', '예능', '정형돈', '노홍철', '하와수', '오분순삭', '놀면뭐하니', '무도', '놀뭐', '노찌롱', '명수옹', '명수', 'Park', 'Myungsoo', 'Gpark', '사진사박씨', '레전드', '전설', '꿀잼']"
iHvTV3oLmKc,전참시 텃밭 가꾸고 직접 만든 황토 러닝머신에서 운동하는 이영자의 시골집 최초 공개!ㅣ이영자 MBC240629방송,Entertainment,874898,10~30min,9766.0,754,2024-06-30,2024-07-01,"['전지적참견시점', '전참시', '이영자', '전현무', '송은이', '양세형', '유병재', '홍현희', '참견', '일상', '탐구', '매니저', '연예인', '스타', '생활', '습관', '모습', '행동', '분석', 'MBC', 'MBC예능', '토요예능', 'T70517G', '240629', '이준', '이관희', '리틀포레스트', '시골', '전원생활', '돼지감자물', '인테리어', '동충하초', '계란', '오징어', '자연', '화이트앤우드', '텃밭', '채식', '고수', '황토', '운동', '러닝머신', '한식', '전지적참견시점', '엠뚜루마뚜루']",엠뚜루마뚜루 : MBC 공식 종합 채널,4930992684,2470000,9498,['엠뚜루마뚜루']
iMUhzmjh72o,RIIZE 성찬소희앤톤과 함께 이탈리안 음식을 가볍게 Groovin  김동 이동의 먹2U EP8,Music,507332,30~60min,40609.0,1842,2024-06-29,2024-07-01,"['먹2U', '김동이동의_먹2U', 'DOYOUNG', 'HAECHAN', 'SUNGCHAN', 'SOHEE', 'ANTON', 'RIIZE', '라이즈', 'NCT', 'NCT127', 'NCTDREAM']",NCT,1299594528,6200000,1131,"['채널NCT', 'NCT', '엔시티']"
vs71fEc1sos,QWER 첫 정산? l 최애의 아이들 시즌2 EP0,Entertainment,442117,10~30min,9013.0,920,2024-06-30,2024-07-01,"['qwer', '쵸단', '마젠타', '냥뇽녕냥', '히나', '시연', '이시연', '김계란', '김계란 QWER', 'QWER 예능', 'QWER 컨텐츠', '자컨', '최애의아이', '최애의아이들', '최애의아이돌', '고민중독', 'QWER 자컨', 'QWER 비하인드', '걸밴드의삶', '민머리극장', 'QWER', '최애의아이들', '시즌2']",QWER,319525393,888000,280,
iREapwdu3rc,최초공개 쯔양의 24시간! 동안 먹은 양이 xxxxx칼로리?! 배민 총 주문금액과 하루동안 얼마나 먹는지 대공개,People & Blogs,414072,10~30min,8610.0,982,2024-06-29,2024-07-01,"['real sound', '리얼사운드', 'social eating', 'mukbang', 'eating show', '먹방', '맛집', '쯔양', 'v-log', '브이로그', '쯔양 브이로그', '쯔양 v-log', '쯔양 vlog']",쯔양 브이로그  V-LOG TZUYANG,991972,88000,2,
LBvu6H8dox0,마지막으로 안아봐도 돼요?,Comedy,730204,1~5min,11399.0,1103,2024-06-30,2024-07-01,"['웃기시네', '스케치코미디', '동거']",웃기시네,258787403,591000,346,
TEADllvLoN8,서울에서 땅끝까지 2박 3일 대 감성여행  한국,Travel & Events,195506,10~30min,7214.0,561,2024-06-30,2024-07-01,['여행유튜버'],노마드션 No mad Shaun,86155266,540000,158,
